127.0.0.1 - - [17/Aug/2017:15:15:15 +0530] "GET / HTTP/1.1" 404 953
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:16:57 +0530] "GET /RestMessage/webapi/param;year=2015 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:17:30 +0530] "GET /RestMessage/webapi;year=2015/param HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:22:22 +0530] "GET /RestMessage/webapi/param;year=2015/One HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:23:37 +0530] "GET /RestMessage/webapi/param/One;year=2015 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:24:52 +0530] "GET /RestMessage/webapi/param;year=2015/One HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:26:34 +0530] "GET /RestMessage/webapi/param;year=2015/One HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:26:43 +0530] "GET /RestMessage/webapi/param;2015/One HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:27:24 +0530] "GET /RestMessage/webapi/param;2015/One HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:27:30 +0530] "GET /RestMessage/webapi/param/2015/One HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:28:20 +0530] "GET /RestMessage/webapi/param/One;year=2015 HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:28:26 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:29:47 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:31:34 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:35:39 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:47:07 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:47:08 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:47:19 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 500 4489
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:47:36 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:48:31 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 500 3075
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:48:34 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 500 3075
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:48:40 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 500 3075
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:49:20 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 500 3075
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:51:04 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 500 3837
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:54:30 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:54:54 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:55:47 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:55:49 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:56:16 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:56:16 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:56:16 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:56:17 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:56:17 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:56:38 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:57:00 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:57:22 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:57:23 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:57:23 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:57:23 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:15:57:23 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:04:32 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:04:46 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:04:46 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:04:47 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:04:47 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:04:48 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:05:26 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:05:38 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:07:10 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:07:55 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:07:56 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:08:31 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:12:50 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:12:55 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:13:54 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 500 3075
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:15:56 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 404 950
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:16:10 +0530] "GET /RestMessage/webapi/param/One;year=2017 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:27:20 +0530] "GET /RestMessage/ HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:27:46 +0530] "GET /RestMessage/NewFile.jsp HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:27:55 +0530] "POST /RestMessage/param/Two HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:28:40 +0530] "GET /RestMessage/NewFile.jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:28:40 +0530] "GET /RestMessage/NewFile.jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:28:41 +0530] "GET /RestMessage/NewFile.jsp HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [17/Aug/2017:16:28:49 +0530] "POST /RestMessage/webapi/param/Two HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [17/Aug/2017:18:12:23 +0530] "GET /RestMessage/webapi/param/context HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [17/Aug/2017:18:13:10 +0530] "GET /RestMessage/webapi/param/context HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [17/Aug/2017:18:17:18 +0530] "GET /RestMessage/webapi/param/context?start=100&end=200 HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [17/Aug/2017:18:17:38 +0530] "GET /RestMessage/webapi/param/context/20?start=100&end=200 HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [17/Aug/2017:18:17:47 +0530] "GET /RestMessage/webapi/param/context?start=100&end=200 HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [17/Aug/2017:18:18:25 +0530] "GET /RestMessage/webapi/param/20/context?start=100&end=200 HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [17/Aug/2017:18:19:18 +0530] "GET /RestMessage/webapi/param/20/context?start=100&end=200 HTTP/1.1" 200 412
